rank,gene,score
1,Slc2a1,0.002139
2,Myo16,0.002131
3,Bmp7,0.002110
4,Rdx,0.002100
5,Hsd17b11,0.002095
6,Cxcl12,0.002091
7,Ptn,0.002081
8,Plat,0.002079
9,Asnsd1,0.002078
10,Rlbp1,0.002071
11,Doc2g,0.002069
12,Rhoc,0.002067
13,Mcmbp,0.002064
14,Gabrb1,0.002063
15,Zfp703,0.002063
16,Lrrc55,0.002062
17,Cplx1,0.002061
18,Gpsm1,0.002060
19,Tubb2b,0.002060
20,Prepl,0.002058
21,Bcas1,0.002055
22,Crh,0.002054
23,Slc6a13,0.002052
24,Fkbp9,0.002051
25,Mt2,0.002050
26,Mag,0.002050
27,Flna,0.002049
28,Pou3f1,0.002049
29,Isyna1,0.002048
30,Bcar3,0.002048
