gene,bulk,image+ST
CCDC85C,0.0,0.025449
CPSF4,0.0,0.020654
Asgr1,0.0,0.018739
Cdc25c,0.0,0.015745
CERS1,0.0,0.012169
CYP1A2,0.0,0.009519
C1R,0.0,0.007923
CNBP,0.0,0.007917
Ccr2,0.0,0.007817
Aldh1a1,0.0,0.007665
RIDA,0.0,0.00761
CPXM2,0.0,0.007443
Col9a2,0.0,0.006105
CHTF18,0.0,0.005964
BDP1,0.0,0.005919
CSF2RA,0.0,0.00581
Adamts4,0.0,0.00573
COL16A1,0.0,0.005681
IGFBP1,0.0,0.005621
CCDC136,0.0,0.005461
CCDC168,0.0,0.005429
CAV1,0.0,0.005407
CXCR6,0.0,0.00533
BRD7,0.0,0.005216
CD8A,0.0,0.005044
CFAP74,0.0,0.005041
Ccl21a,0.0,0.004997
CLEC3A,0.0,0.004769
CORO1C,0.0,0.004643
ITIH1,0.0,0.004596
