rank,gene,score
1,Acp5,0.010960
2,Clgn,0.009307
3,Alg11,0.007941
4,Calb2,0.006551
5,Apoc1,0.006260
6,Cd3d,0.006232
7,Cd55,0.005779
8,B2m,0.005486
9,Acer3,0.005446
10,BTNL9,0.005415
11,Ccdc171,0.005070
12,Cdkn2c,0.004922
13,Angptl2,0.004866
14,Apobec4,0.004852
15,CCL16,0.004778
16,CLEC2B,0.004734
17,Col16a1,0.004552
18,Col11a1,0.004522
19,Aicda,0.004418
20,Cnn2,0.004338
21,Cyp2g1,0.004295
22,Ccdc169,0.004274
23,C1qb,0.004227
24,Bmp7,0.004164
25,Birc7,0.004151
26,BRCC3,0.004139
27,Cnga4,0.004028
28,Cd8b1,0.003961
29,Cav2,0.003765
30,CYP21A2,0.003746
