gene,ST-only,image+ST
Ccl8,0.0,0.024756
Isyna1,0.0,0.02146
Ahcyl2,0.0,0.01832
Gng4,0.0,0.013841
Spp1,0.0,0.012523
Hey2,0.0,0.010375
Trp53i11,0.0,0.010274
Tubb2b,0.0,0.008756
Plekhb1,0.0,0.008338
Lars2,0.0,0.008244
Bc1,0.0,0.007948
C1qa,0.0,0.006488
Wls,0.0,0.006478
Calb2,0.00959,0.006382
Phlpp1,0.0,0.006315
Xiap,0.0,0.006167
Tshz2,0.0,0.005945
Cck,0.003398,0.005736
Ccnb1ip1,0.0,0.005569
Lmo3,0.0,0.00549
Hadhb,0.0,0.005435
Igfbp5,0.0,0.005433
Nmb,0.003369,0.005366
Ptgds,0.004009,0.005306
Gap43,0.0,0.00521
Slc1a2,0.0,0.005176
Icam5,0.0,0.005103
Lcat,0.0,0.005041
Tmem163,0.0,0.004992
C3,0.0,0.004949
