gene,bulk,image+ST
Asgr1,0.0,0.024578
CCDC85C,0.0,0.023838
CPSF4,0.0,0.018247
Cdc25c,0.0,0.015645
CERS1,0.0,0.011453
Aldh1a1,0.0,0.010644
Adamts4,0.0,0.01015
AW551984,0.0,0.009169
CYP1A2,0.0,0.00907
CNBP,0.0,0.008965
Ly6a,0.0,0.008382
Ccr2,0.0,0.007611
BDP1,0.0,0.007594
CPXM2,0.0,0.006939
Col9a2,0.0,0.00677
C1R,0.0,0.006205
BRD7,0.0,0.006079
DIS3L,0.0,0.005916
ANKRD17,0.0,0.005677
AQP5,0.0,0.005483
CSF2RA,0.0,0.005478
COL16A1,0.0,0.00547
B4GALT6,0.0,0.005432
CHTF18,0.0,0.005403
CXCR6,0.0,0.005392
CCDC136,0.0,0.005241
CAV1,0.0,0.005191
CFAP74,0.0,0.005166
CCDC168,0.0,0.005107
CLEC3A,0.0,0.004834
