rank,gene,score
1,Ptn,0.995373
2,Tgm2,0.001523
3,Ggct,0.001163
4,Myo6,0.001014
5,Insc,0.000542
6,Mcf2l,0.000164
7,Thsd4,0.000151
8,Bc1,0.000058
9,Synpr,0.000003
10,Gpsm1,0.000002
11,Stxbp6,0.000002
12,Efcab7,0.000002
13,Zfp36l2,0.000001
14,Nmb,0.000000
15,Gm42756,0.000000
16,Pcp4l1,0.000000
17,Tuba1a,0.000000
18,Nefl,0.000000
19,Uchl1,0.000000
20,Ctss,0.000000
21,Necab3,0.000000
22,Rapgef4,0.000000
23,Nrgn,0.000000
24,Rnf13,0.000000
25,Lonp2,0.000000
26,Ikbke,0.000000
27,H2-Ab1,0.000000
28,Thy1,0.000000
29,Hspb1,0.000000
30,Scgn,0.000000
