rank,gene,score
1,Car4,0.004348
2,Bnc2,0.004014
3,Casp1,0.003999
4,CERS1,0.003978
5,Calml4,0.003870
6,COLEC12,0.003863
7,C130083M11Rik,0.003825
8,Cfh,0.003736
9,C1qtnf2,0.003729
10,Cmah,0.003638
11,Ccl20,0.003560
12,Birc7,0.003533
13,CRELD2,0.003517
14,C1QA,0.003498
15,Cd36,0.003452
16,B230209E15Rik,0.003432
17,C1QTNF1,0.003354
18,CALY,0.003318
19,Cdca3,0.003314
20,Bcas1,0.003313
21,C2cd4a,0.003302
22,BTNL9,0.003280
23,CTCF,0.003244
24,Adrb2,0.003237
25,Antxr1,0.003215
26,Cpne3,0.003210
27,Cd209f,0.003184
28,Bfsp2,0.003168
29,CLEC14A,0.003133
30,CLN8,0.003111
