rank,gene,score
1,Angpt2,0.021778
2,C3,0.018758
3,Clgn,0.015825
4,Ccl8,0.013227
5,Ahcyl2,0.011030
6,Cyp2c55,0.010550
7,CELF1,0.010374
8,Adgrg6,0.009830
9,Adam5,0.009414
10,Cdh26,0.009006
11,CXCR4,0.008826
12,Ciita,0.008478
13,Apoc1,0.008283
14,AKAP1,0.007668
15,Ccnb1ip1,0.006495
16,Col16a1,0.006278
17,AP5Z1,0.006231
18,Arhgef10,0.006198
19,Cdca3,0.005618
20,Anpep,0.005599
21,CLASP2,0.005488
22,COX7A1,0.005483
23,B430306N03Rik,0.005386
24,Caln1,0.005183
25,COL1A2,0.005051
26,Cyr61,0.004892
27,AV356131,0.004843
28,4930570G19Rik,0.004838
29,Cd209f,0.004829
30,Brinp3,0.004785
