rank,gene,score
1,Myo6,0.307750
2,Ptn,0.292161
3,Tgm2,0.184227
4,Thsd4,0.106909
5,Zfp36l2,0.034263
6,Ikbke,0.022910
7,Mcf2l,0.008718
8,Myo15b,0.006495
9,Ggct,0.005590
10,Insc,0.003985
11,Tstd1,0.002446
12,Hspb1,0.002313
13,Nrtn,0.001987
14,Cd9,0.001639
15,Gm26510,0.001283
16,Mgp,0.001217
17,Cps1,0.001127
18,Aqp8,0.000935
19,Muc2,0.000890
20,Hopx,0.000839
21,Cd3d,0.000828
22,Guca2a,0.000808
23,Col1a2,0.000632
24,H2-Ab1,0.000538
25,Ctss,0.000520
26,Acaa2,0.000519
27,Stxbp6,0.000487
28,Cavin2,0.000456
29,Igkc,0.000438
30,Il10ra,0.000385
