rank,gene,score
1,ITM2C,0.002274
2,ABCC9,0.002130
3,SGCE,0.002126
4,TIAM1,0.002122
5,IKZF1,0.002113
6,ARHGAP45,0.002113
7,LUC7L,0.002111
8,CSGALNACT1,0.002107
9,ILF2,0.002089
10,TSPAN4,0.002085
11,RNF146,0.002083
12,ZNF407,0.002082
13,Cdkn2c,0.002080
14,CTCF,0.002075
15,THBS1,0.002075
16,ANGPTL4,0.002075
17,F10,0.002073
18,CCL16,0.002069
19,S100PBP,0.002066
20,SLC6A16,0.002061
21,SSBP3,0.002060
22,DSEL,0.002058
23,CALY,0.002057
24,Cfap126,0.002057
25,ATP2B4,0.002054
26,AC002467.1,0.002053
27,MED19,0.002053
28,PTX3,0.002052
29,EHD4,0.002051
30,CSPG4,0.002049
